target_child,target_age,target_age_days,n_part_av_T,language,total_time_T,total_utt_T,OIRall_tf_T,OIRall_rf_time_T,OIRall_rf_utt_T,OIR_t1_total_T,OIR_t2_total_T,OIR_t3_total_T,OIR_t1_rf_T,OIR_t2_rf_T,OIR_t3_rf_T,OIRtcs_tf_T,OIRtcs_rf_time_T,OIRtcs_rf_utt_T,OIRtcs_t1_total_T,OIRtcs_t2_total_T,OIRtcs_t3_total_T,OIRtcs_t1_rf_T,OIRtcs_t2_rf_T,OIRtcs_t3_rf_T,OIRcds_tf_T,OIRcds_rf_time_T,OIRcds_rf_utt_T,OIRcds_t1_total_T,OIRcds_t2_total_T,OIRcds_t3_total_T,OIRcds_t1_rf_T,OIRcds_t2_rf_T,OIRcds_t3_rf_T,OIRcss_tf_T,OIRcss_rf_time_T,OIRcss_rf_utt_T,OIRcss_t1_total_T,OIRcss_t2_total_T,OIRcss_t3_total_T,OIRcss_t1_rf_T,OIRcss_t2_rf_T,OIRcss_t3_rf_T
138,2;01.00,760,5,chintang,2700,141,3,900,47,3,0,0,1,0,0,2,1350,70.5,2,0,0,1,0,0,1,2700,141,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,2;04.00,850,8,chintang,2700,1641,50,54,32.82,27,12,11,0.54,0.24,0.22,12,225,136.75,5,6,1,0.416666667,0.5,0.083333333,26,103.846,63.115,14,4,8,0.538,0.154,0.308,12,225,136.75,8,2,2,0.667,0.167,0.167
138,2;07.00,940,7,chintang,2700,1435,119,22.689,12.059,53,33,33,0.445,0.277,0.277,29,93.103,49.483,12,15,2,0.413793103,0.517241379,0.068965517,81,33.333,17.716,37,15,29,0.457,0.185,0.358,9,300,159.444,4,3,2,0.444,0.333,0.222
138,2;10.00,1030,10,chintang,2700,1503,81,33.333,18.556,12,65,4,0.148,0.802,0.049,59,45.763,25.475,10,49,0,0.169491525,0.830508475,0,11,245.455,136.636,1,6,4,0.091,0.545,0.364,11,245.455,136.636,1,10,0,0.091,0.909,0
138,3;01.00,1125,10,chintang,2700,769,31,87.097,24.806,19,10,2,0.613,0.323,0.065,4,675,192.25,3,1,0,0.75,0.25,0,16,168.75,48.062,12,3,1,0.75,0.188,0.062,11,245.455,69.909,4,6,1,0.364,0.545,0.091
138,3;04.00,1215,7,chintang,2700,1468,58,46.552,25.31,29,11,18,0.5,0.19,0.31,15,180,97.867,11,4,0,0.733333333,0.266666667,0,33,81.818,44.485,10,6,17,0.303,0.182,0.515,10,270,146.8,8,1,1,0.8,0.1,0.1
48,2;01.00,760,19,chintang,2700,2611,32,84.375,81.594,16,8,8,0.5,0.25,0.25,6,450,435.167,3,2,1,0.5,0.333333333,0.166666667,7,385.714,373,4,2,1,0.571,0.286,0.143,19,142.105,137.421,9,4,6,0.474,0.211,0.316
48,2;04.00,850,10,chintang,2700,988,29,93.103,34.069,9,13,7,0.31,0.448,0.241,8,337.5,123.5,0,7,1,0,0.875,0.125,6,450,164.667,3,1,2,0.5,0.167,0.333,15,180,65.867,6,5,4,0.4,0.333,0.267
48,2;07.00,940,11,chintang,2700,1774,56,48.214,31.679,35,10,11,0.625,0.179,0.196,9,300,197.111,5,3,1,0.555555556,0.333333333,0.111111111,35,77.143,50.686,23,4,8,0.657,0.114,0.229,12,225,147.833,7,3,2,0.583,0.25,0.167
48,2;10.00,1030,24,chintang,2700,1739,59,45.763,29.475,23,24,12,0.39,0.407,0.203,3,900,579.667,1,2,0,0.333333333,0.666666667,0,17,158.824,102.294,10,4,3,0.588,0.235,0.176,39,69.231,44.59,12,18,9,0.308,0.462,0.231
