target_child,session_id,target_age,age_months,n_participants,language,total_utterances,utterances_TCH,utterances_CDS,utterances_CSS,OIR_total,OIR_total_T1,OIR_total_T2,OIR_total_T3,OIR_cs_all,OIR_cs_T1,OIR_cs_T2,OIR_cs_T3,OIR_cds_all,OIR_cds_T1,OIR_cds_T2,OIR_cds_T3,OIR_css_all,OIR_css_T1,OIR_css_T2,OIR_css_T3
LDCh1,96,2;01.09,25,4,chintang,141,27,90,24,3,3,0,0,2,2,0,0,1,1,0,0,0,0,0,0
LDCh1,"114, 115","2;03.16, 2;04.08",28,8,chintang,1546,419,873,254,50,27,12,11,12,5,6,1,26,14,4,8,12,8,2,2
LDCh1,"132, 133",2;07.04,31,7,chintang,1444,501,731,212,119,53,33,33,29,12,15,2,81,37,15,29,9,4,3,2
LDCh1,"154, 155",2;10.11,34,10,chintang,1488,394,941,153,81,12,65,4,59,10,49,0,11,1,6,4,11,1,10,0
LDCh1,"170, 171","2;11.14, 3;03.19",37,10,chintang,772,194,497,81,31,19,10,2,4,3,1,0,16,12,3,1,11,4,6,1
LDCh1,"174, 175","3;03.23, 3;03.24",40,7,chintang,1496,441,907,148,58,29,11,18,15,11,4,0,33,10,6,17,10,8,1,1
LDCh2,181,2;00.29,25,14,chintang,2600,251,1861,488,32,16,8,8,6,3,2,1,7,4,2,1,19,9,4,6
LDCh2,207,2;04.00,28,10,chintang,986,223,610,153,29,9,13,7,8,0,7,1,6,3,1,2,15,6,5,4
LDCh2,"224, 225",2;06.25;  2;06.26,31,11,chintang,1723,545,942,236,56,35,10,11,9,5,3,1,35,23,4,8,12,7,3,2
LDCh2,"242, 243",2;10.00,34,24,chintang,1741,205,1229,307,59,23,24,12,3,1,2,0,17,10,4,3,39,12,18,9
LDCh2,"264, 265",3;01.00,37,9,chintang,1289,330,767,192,42,15,24,3,3,2,1,0,9,2,6,1,30,11,17,2
LDCh2,"269, 270","3;3.11, 3;3.12",39,9,chintang,922,208,571,143,10,5,3,2,1,1,0,0,5,3,2,0,4,1,1,2
536,2389,2;00.27,25,7,indonesian,1592,480,834,278,24,13,9,2,3,3,0,0,19,9,8,2,2,1,1,0
536,"2402, 2403","2;03.28, 2;04.04",28,6,indonesian,1263,546,538,179,32,10,10,12,3,0,0,3,28,10,10,8,1,0,0,1
536,2413,2;06.27,31,6,indonesian,1509,481,771,257,29,9,10,10,4,3,1,0,23,6,8,9,2,0,1,1
536,"2425, 2426","2;09.19,  2;09.24",34,6,indonesian,1094,540,416,138,44,10,19,15,8,2,3,3,35,8,16,11,1,0,0,1
536,"2437, 2438","3;00.27, 3;01.06",37,4,indonesian,865,539,245,81,52,9,21,22,8,1,6,1,44,8,15,21,0,0,0,0
536,"2450, 2451","3;03.30, 3;04.06",40,4,indonesian,1304,601,527,176,73,21,27,25,22,12,6,4,51,9,21,21,0,0,0,0
653,"2756, 2757","2;01.02, 2;01.07",25,8,indonesian,2768,686,1562,520,126,34,50,42,20,8,8,4,76,17,28,31,30,9,14,7
653,2765,2;04.04,28,10,indonesian,1497,756,556,185,92,42,29,21,40,25,12,3,43,13,13,17,9,4,4,1
653,2775,2;07.09,31,18,indonesian,2447,943,1128,376,116,37,44,35,51,21,19,11,54,10,22,22,11,6,3,2
653,"2784, 2785","2;09.24, 2;10.11",34,11,indonesian,1056,503,415,138,54,9,20,25,12,2,3,7,41,7,17,17,1,0,0,1
653,"2791, 2792","3;01.02, 3;01.17",37,5,indonesian,2635,1031,1203,401,85,22,20,43,21,11,5,5,62,11,14,37,2,0,1,1
653,2800,3;03.24,40,5,indonesian,1326,511,611,204,25,16,4,5,6,5,1,0,16,9,3,4,3,2,0,1
929,,2;01.00,25,6,russian,1779,801,910,68,32,1,5,26,0,0,0,0,29,1,5,23,3,0,0,3
929,,2;04.00,28,5,russian,1515,606,845,64,30,1,4,25,2,0,0,2,28,1,4,23,0,0,0,0
929,,2;07.00,31,4,russian,1375,715,614,46,45,4,8,33,8,0,3,5,37,4,5,28,0,0,0,0
929,,2;10.00,34,5,russian,1583,744,780,59,48,2,10,36,6,0,3,3,42,2,7,33,0,0,0,0
929,,3;01.00,37,4,russian,1793,1058,684,51,41,6,6,29,11,2,4,5,29,3,2,24,1,1,0,0
929,,3;04.00,40,4,russian,1701,1123,538,40,52,9,12,31,17,5,8,4,34,3,4,27,1,1,0,0
949,,2;01.00,25,4,russian,1409,183,1140,86,10,2,3,5,0,0,0,0,2,0,2,0,8,2,1,5
949,,2;04.00,28,3,russian,1743,331,1313,99,67,7,7,53,5,1,0,4,32,2,2,28,30,4,5,21
949,,2;07.00,31,4,russian,1662,316,1252,94,57,8,6,43,8,0,0,8,37,5,6,26,12,3,0,9
949,,2;10.00,34,3,russian,2017,464,1444,109,31,1,8,22,7,0,2,5,1,0,0,1,23,1,6,16
949,,3;01.00,37,5,russian,1631,294,1243,94,19,2,4,13,2,1,0,1,3,0,1,2,14,1,3,10
949,,3;04.00,40,5,russian,1677,436,1154,87,32,0,6,26,6,0,0,6,18,0,6,12,8,0,0,8
Fraser,,2;01.00,25,2,english,1254,910,344,0,73,14,3,56,22,4,0,18,51,10,3,38,0,0,0,0
Fraser,,2;04.01,28,2,english,1999,836,1156,7,87,15,8,64,8,4,0,4,79,11,8,60,0,0,0,0
Fraser,,2;07.00,31,3,english,1841,537,467,837,40,5,7,28,1,1,0,0,39,4,7,28,0,0,0,0
Fraser,,2;10.00,34,2,english,1751,767,984,0,78,11,5,62,10,7,0,3,68,4,5,59,0,0,0,0
Fraser,,3;01.00,37,2,english,1606,803,803,0,72,9,3,60,20,5,0,15,52,4,3,45,0,0,0,0
Anne,,2;01.08,25,3,english,1740,566,1159,15,128,45,6,77,3,2,1,0,125,43,5,77,0,0,0,0
Anne,,2;04.00,28,3,english,2021,689,1228,104,75,45,6,24,5,4,0,1,70,41,6,23,0,0,0,0
Anne,,2;07.01,31,3,english,1958,736,1206,16,79,27,11,41,2,1,0,1,76,25,11,40,1,1,0,0
Anne,,2;09.10,34,3,english,1852,878,958,16,41,9,5,27,2,0,1,1,39,9,4,26,0,0,0,0
Helen,,3;01.00,37,2,english,2041,1055,986,0,101,31,14,56,23,18,3,2,78,13,11,54,0,0,0,0
Helen,,3;04.00,40,3,english,1457,641,748,68,87,35,7,45,43,23,2,18,43,12,5,26,1,0,0,1
Gina,,3;01.01,37,2,english,1828,1052,776,0,39,19,7,13,23,14,6,3,16,5,1,10,0,0,0,0
Gina,,3;04.01,40,2,english,1788,800,988,0,27,7,8,12,9,4,4,1,18,3,4,11,0,0,0,0
